,h1n1_vaccine,seasonal_vaccine,h1n1_concern,h1n1_knowledge,behavioral_avoidance,behavioral_large_gatherings,opinion_h1n1_vacc_effective,opinion_h1n1_risk,opinion_h1n1_sick_from_vacc,opinion_seas_vacc_effective,opinion_seas_risk,opinion_seas_sick_from_vacc,age_group,education,sex
0,0,0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,1.0,2.0,55 - 64 Years,< 12 Years,Female
1,0,1,3.0,2.0,1.0,0.0,5.0,4.0,4.0,4.0,2.0,4.0,35 - 44 Years,>= 12 years,Male
2,0,0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,4.0,1.0,2.0,18 - 34 Years,Higher Education,Male
3,0,1,1.0,1.0,1.0,1.0,3.0,3.0,5.0,5.0,4.0,1.0,65+ Years,>= 12 years,Female
4,0,0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,4.0,45 - 54 Years,Higher Education,Female
5,0,0,3.0,1.0,1.0,0.0,5.0,2.0,1.0,5.0,4.0,4.0,65+ Years,>= 12 years,Male
6,0,0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,4.0,2.0,1.0,55 - 64 Years,< 12 Years,Male
7,1,1,1.0,0.0,1.0,0.0,5.0,2.0,1.0,4.0,2.0,1.0,45 - 54 Years,Higher Education,Female
8,0,0,0.0,2.0,1.0,1.0,4.0,1.0,1.0,4.0,2.0,1.0,45 - 54 Years,Higher Education,Male
9,0,0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,4.0,2.0,2.0,55 - 64 Years,>= 12 years,Male
10,1,1,2.0,1.0,1.0,1.0,4.0,1.0,2.0,5.0,4.0,4.0,45 - 54 Years,>= 12 years,Male
11,1,1,1.0,2.0,1.0,0.0,3.0,2.0,2.0,4.0,2.0,1.0,55 - 64 Years,Higher Education,Male
12,0,1,1.0,1.0,1.0,1.0,3.0,2.0,1.0,5.0,4.0,1.0,65+ Years,Higher Education,Male
13,0,0,1.0,1.0,1.0,0.0,3.0,1.0,4.0,4.0,2.0,4.0,35 - 44 Years,Higher Education,Male
14,0,0,3.0,1.0,1.0,0.0,5.0,4.0,2.0,4.0,4.0,2.0,55 - 64 Years,>= 12 years,Male
15,0,0,1.0,1.0,1.0,0.0,4.0,2.0,2.0,2.0,1.0,1.0,35 - 44 Years,Higher Education,Female
16,1,1,2.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,4.0,1.0,65+ Years,>= 12 years,Female
17,0,0,1.0,1.0,0.0,1.0,2.0,2.0,4.0,4.0,2.0,1.0,35 - 44 Years,Higher Education,Female
18,0,0,1.0,2.0,1.0,0.0,5.0,2.0,2.0,5.0,4.0,2.0,65+ Years,Higher Education,Male
19,0,0,2.0,2.0,0.0,0.0,4.0,2.0,1.0,5.0,2.0,1.0,55 - 64 Years,Higher Education,Female
20,0,0,3.0,1.0,1.0,1.0,4.0,2.0,2.0,4.0,2.0,2.0,55 - 64 Years,Higher Education,Female
21,0,1,2.0,2.0,1.0,0.0,3.0,3.0,1.0,3.0,3.0,1.0,55 - 64 Years,Higher Education,Female
22,0,0,1.0,1.0,1.0,0.0,4.0,2.0,2.0,4.0,1.0,2.0,45 - 54 Years,Higher Education,Female
23,0,0,3.0,0.0,0.0,1.0,5.0,5.0,4.0,4.0,4.0,4.0,18 - 34 Years,< 12 Years,Female
24,0,0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,18 - 34 Years,>= 12 years,Male
25,0,0,1.0,2.0,1.0,0.0,3.0,2.0,2.0,2.0,4.0,2.0,45 - 54 Years,Higher Education,Female
26,1,1,3.0,1.0,0.0,0.0,3.0,2.0,4.0,5.0,5.0,4.0,45 - 54 Years,Higher Education,Female
27,0,0,3.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,65+ Years,Higher Education,Female
28,0,0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,55 - 64 Years,>= 12 years,Male
29,0,0,2.0,1.0,0.0,1.0,3.0,1.0,5.0,4.0,1.0,4.0,65+ Years,>= 12 years,Female
30,0,0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,35 - 44 Years,Higher Education,Female
31,1,0,2.0,1.0,1.0,0.0,4.0,2.0,4.0,4.0,1.0,2.0,18 - 34 Years,Higher Education,Female
32,0,1,2.0,2.0,1.0,0.0,4.0,2.0,2.0,4.0,2.0,2.0,35 - 44 Years,Higher Education,Male
33,1,0,2.0,1.0,1.0,0.0,5.0,4.0,4.0,5.0,2.0,4.0,65+ Years,>= 12 years,Female
34,1,1,1.0,1.0,1.0,0.0,5.0,1.0,2.0,4.0,2.0,1.0,18 - 34 Years,Higher Education,Male
